drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),very_high
sirolimus,1.11,99.41546727601997,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),very_high
docetaxel,1.11,66.58642162922607,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),high
paclitaxel,10.0,65.89065550762946,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),high
vinorelbine,10.0,49.66216494927489,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
vinblastine,10.0,48.268803640370606,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
NVP-BEZ235,10.0,34.77351479356836,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
NVP-AUY922,1.11,33.78185324461903,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
methotrexate,10.0,33.718755036608066,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
lestaurtinib,10.0,32.86652090022742,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
epirubicin,10.0,31.298605305351767,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
gemcitabine,10.0,31.072362411674764,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
camptothecin,1.11,30.452527972687097,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),moderate
staurosporine,10.0,29.62541431564533,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),low
GDC-0941,10.0,28.3335136552366,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),low
tanespimycin,10.0,26.119202947897872,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),low
SN-38,1.11,25.1483159976292,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),low
nutlin-3,10.0,25.073474638445038,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),low
lapatinib,10.0,22.996178702288514,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),low
navitoclax,10.0,22.477507479254456,RB1(17); CCL2(15); PPARG(15); AKT1(12); JUN(12),low
