drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),very_high
sirolimus,1.11,99.76557880207089,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),very_high
docetaxel,1.11,66.94698082750575,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),high
paclitaxel,10.0,66.25121470590915,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),high
vinorelbine,10.0,50.022724147554584,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),high
vinblastine,10.0,48.6293628386503,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
NVP-AUY922,1.11,34.14924593810003,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
NVP-BEZ235,10.0,34.084752312215436,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
lestaurtinib,10.0,33.20979893107706,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
methotrexate,10.0,33.047273722685155,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
epirubicin,10.0,31.641883336201396,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
camptothecin,1.11,30.81963209913233,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
gemcitabine,10.0,30.38359993032183,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),moderate
staurosporine,10.0,28.953933001722444,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),low
GDC-0941,10.0,28.621491937956634,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),low
SN-38,1.11,25.515420124074435,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),low
tanespimycin,10.0,25.447721633974986,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),low
nutlin-3,10.0,24.39154565229341,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),low
topotecan,1.11,22.54614984051246,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),low
lapatinib,10.0,22.324697388365635,CCL2(17); KDM5A(13); CASP3(12); CHEK1(11); PPARG(9),low
