drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.15519543731635,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),very_high
docetaxel,10.0,60.72846708867259,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),high
vinorelbine,10.0,53.07872507659734,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),high
vinblastine,10.0,48.58656207580441,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),moderate
methotrexate,10.0,44.94029016104315,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),moderate
temsirolimus,10.0,43.979708696016466,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),moderate
MG-132,10.0,34.30290689549508,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),moderate
lestaurtinib,10.0,29.716748474476006,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
navitoclax,10.0,28.510608905825404,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
lapatinib,10.0,27.552236864841955,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
bortezomib,10.0,27.150079343565213,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
AZD-6482,10.0,24.77797864542518,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
ABT-737,10.0,24.57987787180968,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
foretinib,10.0,23.72484440586914,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
MK-1775,10.0,22.83364553066983,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
staurosporine,10.0,22.832430825561246,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
gemcitabine,10.0,21.214476050873717,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
sorafenib,10.0,19.38162822329076,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
epirubicin,10.0,19.021644224428105,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
nilotinib,10.0,17.344384716301526,CCL2(20); EGR1(15); HDAC2(13); HSPB1(9); KDM5A(8),low
