drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),very_high
sirolimus,1.11,100.0,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),very_high
docetaxel,1.11,67.33154282919375,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),high
paclitaxel,10.0,66.63577670759715,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),high
vinorelbine,10.0,50.422080976720665,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),high
vinblastine,10.0,49.02871966781638,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
NVP-AUY922,1.11,34.53380793978801,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
NVP-BEZ235,10.0,34.486595481333474,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
lestaurtinib,10.0,33.6116421001951,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
methotrexate,10.0,33.43183572437315,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
epirubicin,10.0,32.04372650531946,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
camptothecin,1.11,31.197649172654785,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
gemcitabine,10.0,30.78544309943988,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),moderate
staurosporine,10.0,29.33849500341044,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),low
GDC-0941,10.0,29.023335107074686,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),low
SN-38,1.11,25.89343719759688,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),low
tanespimycin,10.0,25.832283635662982,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),low
nutlin-3,10.0,24.79338882141146,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),low
topotecan,1.11,22.924166914034906,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),low
lapatinib,10.0,22.280006881693517,JUN(21); SRC(17); GATA3(12); HSPB1(12); HES1(9),low
