drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.05788687011885,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),very_high
docetaxel,10.0,60.63115852147511,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),high
vinorelbine,10.0,52.981416509399864,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),high
vinblastine,10.0,48.489253508606936,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),moderate
methotrexate,10.0,44.9435812495757,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),moderate
temsirolimus,10.0,43.937149437134536,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),moderate
MG-132,10.0,34.260347636613155,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),moderate
lestaurtinib,10.0,29.674189215594044,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
navitoclax,10.0,28.468049646943463,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
lapatinib,10.0,27.940022499365575,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
bortezomib,10.0,27.15337043209773,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
AZD-6482,10.0,24.781269733957703,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
ABT-737,10.0,24.537318612927738,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
foretinib,10.0,23.673386186086105,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
MK-1775,10.0,23.22143116519345,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
staurosporine,10.0,22.789871566679313,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
gemcitabine,10.0,21.21776713940625,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
sorafenib,10.0,19.714664549498824,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
epirubicin,10.0,18.97908496554617,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
nilotinib,10.0,17.292926496518493,CCL2(51); EGR1(31); PMAIP1(16); CHEK1(11); PPARG(10),low
