drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.61221237614993,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),very_high
docetaxel,10.0,61.18548402750616,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),high
vinorelbine,10.0,53.68582830094528,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),high
vinblastine,10.0,49.193665300152354,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),moderate
methotrexate,10.0,44.51557529909819,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),moderate
temsirolimus,10.0,43.54955704842839,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),moderate
MG-132,10.0,34.291418974286415,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),moderate
lestaurtinib,10.0,29.725657161108106,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
navitoclax,10.0,28.39573295838097,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
lapatinib,10.0,27.773760287230356,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
bortezomib,10.0,27.138591422356566,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
AZD-6482,10.0,24.61640443870215,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
ABT-737,10.0,24.465001924365254,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
foretinib,10.0,24.331947630217112,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
MK-1775,10.0,23.0565658699379,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
staurosporine,10.0,22.84133951219331,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
gemcitabine,10.0,20.789761188928775,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
sorafenib,10.0,20.373225993629823,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
epirubicin,10.0,19.010156303219457,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
nilotinib,10.0,17.951487940649493,PPARG(35); CHEK1(20); HSPB1(20); AURKB(14); PLK1(13),low
