drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),very_high
sirolimus,1.11,99.84037591867167,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),very_high
docetaxel,1.11,67.02861143930782,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),high
paclitaxel,10.0,66.33284531771122,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),high
vinorelbine,10.0,50.10435475935667,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),high
vinblastine,10.0,48.710993450452385,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
NVP-BEZ235,10.0,34.296493976376865,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
NVP-AUY922,1.11,34.22404305470081,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
lestaurtinib,10.0,33.42154059523849,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
methotrexate,10.0,33.12890433448726,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
epirubicin,10.0,31.569335349136768,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
camptothecin,1.11,30.901262710934425,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
gemcitabine,10.0,30.31105194325721,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),moderate
staurosporine,10.0,29.165674665883877,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),low
GDC-0941,10.0,28.70312254975872,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),low
SN-38,1.11,25.597050735876522,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),low
tanespimycin,10.0,25.529352245777073,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),low
nutlin-3,10.0,24.46634276889419,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),low
topotecan,1.11,22.627780452314546,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),low
lapatinib,10.0,22.406328000167722,RB1(29); HDAC2(20); HSPB1(20); KDM5A(15); PPARG(13),low
