drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.08376469762948,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),high
docetaxel,10.0,59.65703634898572,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),high
vinorelbine,10.0,51.975088925800456,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),high
vinblastine,10.0,47.48292592500753,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),moderate
methotrexate,10.0,43.71992383190697,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),moderate
temsirolimus,10.0,42.779738974720985,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),moderate
MG-132,10.0,33.08254056635889,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),moderate
lestaurtinib,10.0,28.571418000776994,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
navitoclax,10.0,27.344881824285693,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
lapatinib,10.0,26.77100432929334,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
bortezomib,10.0,25.92971301442902,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
AZD-6482,10.0,23.589817727399,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
ABT-737,10.0,23.414150790269968,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
foretinib,10.0,22.621208255072254,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
MK-1775,10.0,22.029979158634756,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
staurosporine,10.0,21.632461104265772,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
gemcitabine,10.0,19.994109721737523,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
sorafenib,10.0,18.71712586608145,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
epirubicin,10.0,17.801277895291918,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
nilotinib,10.0,16.240748565504635,ABL1(20); EGR1(20); RB1(17); HSPA1A(15); PMAIP1(12),low
