drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),very_high
sirolimus,1.11,99.32363029527887,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),very_high
docetaxel,1.11,66.51186581591503,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),high
paclitaxel,10.0,65.81609969431842,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),high
vinorelbine,10.0,49.60240396344192,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
vinblastine,10.0,48.20904265453764,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
NVP-BEZ235,10.0,33.77974835298402,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
NVP-AUY922,1.11,33.707297431307964,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
lestaurtinib,10.0,32.91868039825569,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
methotrexate,10.0,32.61215871109439,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
epirubicin,10.0,31.220653751020695,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
camptothecin,1.11,30.384517087541592,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),moderate
gemcitabine,10.0,29.962370345141128,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
staurosporine,10.0,28.64892904249105,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
GDC-0941,10.0,28.24167667449549,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
SN-38,1.11,25.080305112483696,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
tanespimycin,10.0,25.012606622384247,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
nutlin-3,10.0,23.949597145501365,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
topotecan,1.11,22.11103482892172,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
lapatinib,10.0,21.889582376774896,CCL2(13); JUN(12); AKT1(12); RB1(11); CHEK1(9),low
