drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),very_high
sirolimus,1.11,100.0,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),very_high
docetaxel,1.11,67.05551225495321,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),high
paclitaxel,10.0,66.72362263642236,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),high
vinorelbine,10.0,51.09115024796478,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),high
vinblastine,10.0,49.697788939060494,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
NVP-BEZ235,10.0,35.28577580493693,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
NVP-AUY922,1.11,34.58929418797097,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
lestaurtinib,10.0,34.41082242379856,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
methotrexate,10.0,34.1009049956173,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
epirubicin,10.0,32.71279577656361,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
camptothecin,1.11,31.285668247845305,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
gemcitabine,10.0,31.243685840853544,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
staurosporine,10.0,30.137675327013884,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),moderate
GDC-0941,10.0,29.481577848488342,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),low
tanespimycin,10.0,26.501352906907087,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),low
SN-38,1.11,25.981456272787387,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),low
nutlin-3,10.0,25.455624597454253,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),low
topotecan,1.11,23.01218598922541,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),low
lapatinib,10.0,22.94907615293762,JUN(19); PPARG(17); EGR1(13); CCL2(13); RB1(13),low
