drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),very_high
temsirolimus,0.12,100.0,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),very_high
docetaxel,1.11,67.45867164030224,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),high
paclitaxel,10.0,67.12678202177139,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),high
vinorelbine,10.0,51.7734167154789,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),high
vinblastine,10.0,50.38005540657462,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),high
NVP-BEZ235,10.0,36.26041587317,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
methotrexate,10.0,35.09282623128041,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
NVP-AUY922,1.11,35.077685104160466,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
lestaurtinib,10.0,34.89581759896804,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
epirubicin,10.0,33.04361235286637,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
gemcitabine,10.0,31.992801205789462,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
camptothecin,1.11,31.780604092200402,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
staurosporine,10.0,30.534349970908547,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),moderate
GDC-0941,10.0,29.867456066407293,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),low
tanespimycin,10.0,27.4932741425702,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),low
SN-38,1.11,26.47639211714243,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),low
nutlin-3,10.0,26.430264665687318,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),low
navitoclax,10.0,23.84834874821579,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),low
MG-132,10.0,23.55652711033976,CHEK1(42); HES1(27); AXIN1(19); AURKB(17); RB1(15),low
