drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.69422980125645,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),very_high
docetaxel,10.0,61.50537744110616,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),high
vinorelbine,10.0,55.59581939935903,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),high
vinblastine,10.0,51.1036563985661,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),high
temsirolimus,10.0,46.467941957934,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),moderate
methotrexate,10.0,46.04691881820491,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),moderate
MG-132,10.0,35.48758296570233,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),moderate
lestaurtinib,10.0,32.681828569344816,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),moderate
lapatinib,10.0,30.16728673266036,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),moderate
bortezomib,10.0,29.525730411924382,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
navitoclax,10.0,28.91895006566431,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
AZD-6482,10.0,27.15362971378434,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
staurosporine,10.0,25.797510920429996,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
MK-1775,10.0,25.68597673073776,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
foretinib,10.0,25.150645006571057,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
ABT-737,10.0,24.988219031648583,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
gemcitabine,10.0,23.682312704950544,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
sorafenib,10.0,22.954047381490334,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
epirubicin,10.0,21.96632771145614,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
nilotinib,10.0,20.532309328510003,PPARG(42); HES1(33); CCL2(32); HSPA1A(27); EGR1(22),low
