drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),very_high
sirolimus,1.11,99.83335517955203,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),very_high
docetaxel,1.11,67.02159070018818,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),high
paclitaxel,10.0,66.32582457859158,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),high
vinorelbine,10.0,50.112128847715105,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),high
vinblastine,10.0,48.71876753881082,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
NVP-BEZ235,10.0,34.289473237257205,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
NVP-AUY922,1.11,34.21702231558115,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
lestaurtinib,10.0,33.41451985611883,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
methotrexate,10.0,33.12188359536759,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
epirubicin,10.0,31.716493208883804,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
camptothecin,1.11,30.894241971814747,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
gemcitabine,10.0,30.458209803004245,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),moderate
staurosporine,10.0,29.1586539267642,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),low
GDC-0941,10.0,28.751401558768638,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),low
SN-38,1.11,25.590029996756844,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),low
tanespimycin,10.0,25.5223315066574,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),low
nutlin-3,10.0,24.459322029774512,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),low
topotecan,1.11,22.620759713194868,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),low
lapatinib,10.0,21.97005475268793,JUN(44); AKT1(24); EGR1(14); CASP3(13); KDM5A(9),low
