drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.682294990818,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),very_high
sirolimus,1.11,98.41749414100096,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),very_high
docetaxel,1.11,65.58161499900577,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),high
paclitaxel,10.0,64.8858488774092,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),high
vinorelbine,10.0,48.657358319054566,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
vinblastine,10.0,47.263997010150284,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
NVP-AUY922,1.11,34.098632269312915,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
NVP-BEZ235,10.0,33.37030902297845,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
methotrexate,10.0,33.35451340340404,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
lestaurtinib,10.0,31.991825322366427,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
epirubicin,10.0,31.60855083484437,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
gemcitabine,10.0,30.85379774843842,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
camptothecin,1.11,30.7624735021797,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),moderate
staurosporine,10.0,29.536960704768326,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),low
GDC-0941,10.0,28.588159436599607,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),low
tanespimycin,10.0,25.90063828466153,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),low
SN-38,1.11,25.458261527121802,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),low
nutlin-3,10.0,24.86174347041,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),low
lapatinib,10.0,22.77761403905217,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),low
topotecan,1.11,22.488991243559827,RB1(21); PPARG(16); CASP3(16); EGR1(15); SRC(14),low
