drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.24601744912188,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),very_high
docetaxel,10.0,60.81928910047814,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),high
vinorelbine,10.0,53.31963337391726,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),high
vinblastine,10.0,48.827470373124335,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),moderate
methotrexate,10.0,43.97790088541531,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),moderate
temsirolimus,10.0,43.0118826347455,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),moderate
MG-132,10.0,33.75374456060352,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),moderate
lestaurtinib,10.0,29.24262199502161,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
navitoclax,10.0,28.016085818530318,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
lapatinib,10.0,26.906230575152836,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
bortezomib,10.0,26.600917008673644,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
ABT-737,10.0,24.085354784514593,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
AZD-6482,10.0,24.078730025019237,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
foretinib,10.0,23.96575270318905,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
staurosporine,10.0,22.303665098510397,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
MK-1775,10.0,22.134396910263888,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
gemcitabine,10.0,20.25208677524586,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
sorafenib,10.0,19.345998447077278,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
epirubicin,10.0,18.47248188953655,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
nilotinib,10.0,17.58529301362143,RB1(31); PPARG(28); CDK1(27); CHEK1(26); PLK1(22),low
