drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),very_high
sirolimus,1.11,99.6154748930488,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),very_high
docetaxel,1.11,66.83964359574331,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),high
paclitaxel,10.0,66.14387747414668,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),high
vinorelbine,10.0,48.679864018594145,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
vinblastine,10.0,47.28650270968986,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
NVP-AUY922,1.11,35.86411926784588,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
NVP-BEZ235,10.0,34.88846404700898,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
lestaurtinib,10.0,33.609920101110006,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
epirubicin,10.0,33.35675666594732,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
methotrexate,10.0,32.91529791640281,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
camptothecin,1.11,32.51067933328267,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
gemcitabine,10.0,31.951838745773237,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
staurosporine,10.0,31.072396896228945,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),moderate
GDC-0941,10.0,29.87809877678305,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),low
SN-38,1.11,27.206467358224725,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),low
tanespimycin,10.0,27.015960449426398,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),low
nutlin-3,10.0,25.32491985021265,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),low
topotecan,1.11,24.237197074662756,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),low
lapatinib,10.0,23.555642283592544,JUN(28); EGR1(20); CCL2(19); HES1(18); PPARG(17),low
