drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),very_high
sirolimus,1.11,99.61597287730265,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),very_high
docetaxel,1.11,67.35901702564668,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),high
paclitaxel,10.0,66.66325090405007,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),high
vinorelbine,10.0,49.14485540882002,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
vinblastine,10.0,48.02047121140546,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
NVP-BEZ235,10.0,35.15507748499869,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
NVP-AUY922,1.11,34.52416576058058,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
lestaurtinib,10.0,34.29400953027036,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
epirubicin,10.0,32.44180428416873,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
camptothecin,1.11,31.78554555136255,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
methotrexate,10.0,31.737048142320276,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
gemcitabine,10.0,30.343599167256713,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),moderate
staurosporine,10.0,29.458963876562386,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),low
GDC-0941,10.0,29.103439567461113,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),low
SN-38,1.11,26.48133357630464,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),low
tanespimycin,10.0,25.2724163774005,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),low
nutlin-3,10.0,24.14667007613011,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),low
topotecan,1.11,23.512063292742663,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),low
dactinomycin,10.0,22.3978527118483,PPARG(81); GATA3(57); HES1(32); PMAIP1(20); ERBB2(20),low
