drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),very_high
temsirolimus,0.37,100.0,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),very_high
docetaxel,1.11,68.00518375464229,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),high
paclitaxel,10.0,67.30941763304568,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),high
vinorelbine,10.0,50.05407455629583,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),high
vinblastine,10.0,48.66071324739155,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
NVP-BEZ235,10.0,35.79780586093674,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
NVP-AUY922,1.11,35.71490726703193,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
lestaurtinib,10.0,34.922852479798365,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
epirubicin,10.0,33.224825832563425,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
camptothecin,1.11,32.37874849989878,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
methotrexate,10.0,31.544725396579416,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
gemcitabine,10.0,31.416317347628738,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
staurosporine,10.0,30.649705383013725,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),moderate
GDC-0941,10.0,29.746167943399147,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),low
SN-38,1.11,27.07453652484082,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),low
tanespimycin,10.0,26.46315788385184,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),low
nutlin-3,10.0,24.789398452068145,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),low
topotecan,1.11,24.105266241278844,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),low
lapatinib,10.0,23.002839718017977,HES1(22); CASP3(15); CCL2(15); AKT1(15); JUN(12),low
