drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.83195290659634,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),high
docetaxel,10.0,60.40522455795252,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),high
vinorelbine,10.0,52.856150089085894,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),high
vinblastine,10.0,48.363987088292966,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),moderate
temsirolimus,10.0,43.69169051318733,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),moderate
methotrexate,10.0,43.35309985534625,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),moderate
MG-132,10.0,32.74791365542917,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),moderate
lestaurtinib,10.0,30.202613866359638,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),moderate
navitoclax,10.0,28.325243521004275,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
lapatinib,10.0,27.571462603226013,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
bortezomib,10.0,26.831911449065686,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
AZD-6482,10.0,24.472398499831957,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
ABT-737,10.0,24.394512486988557,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
foretinib,10.0,23.92191331345738,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
staurosporine,10.0,23.31829621744485,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
MK-1775,10.0,22.886345951723044,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
gemcitabine,10.0,20.988493742091855,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
sorafenib,10.0,20.277024186862693,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
epirubicin,10.0,19.507509616311715,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
nilotinib,10.0,17.855286133882363,EGR1(47); PPARG(37); PMAIP1(30); HES1(26); SRC(16),low
