drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.16290593790634,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),very_high
docetaxel,10.0,60.73617758926257,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),high
vinorelbine,10.0,53.542087375662796,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),high
vinblastine,10.0,49.04992437486986,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),moderate
methotrexate,10.0,44.65943217531159,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),moderate
temsirolimus,10.0,43.33916785287783,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),moderate
MG-132,10.0,33.97619856234905,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),moderate
lestaurtinib,10.0,29.444679388926403,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
navitoclax,10.0,27.717511926964146,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
lapatinib,10.0,27.71051267269794,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
bortezomib,10.0,26.86922135783362,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
AZD-6482,10.0,24.497120659693586,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
ABT-737,10.0,23.78678089294842,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
foretinib,10.0,23.399196649044743,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
staurosporine,10.0,22.505722492415188,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
MK-1775,10.0,22.48163029245387,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
gemcitabine,10.0,20.933618065142124,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
sorafenib,10.0,19.998797342228343,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
epirubicin,10.0,18.694935891282054,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
nilotinib,10.0,17.853597362781407,PPARG(21); BAX(11); SRC(10); HDAC2(10); HSPB1(9),low
