drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),very_high
sirolimus,0.37,100.0,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),very_high
docetaxel,1.11,67.96497222353274,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),high
paclitaxel,10.0,67.63308260500189,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),high
vinorelbine,10.0,52.12194903155564,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),high
vinblastine,10.0,50.728587722651355,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),high
NVP-BEZ235,10.0,36.314088248575835,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
NVP-AUY922,1.11,35.641721294241236,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
lestaurtinib,10.0,35.43913486743746,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
methotrexate,10.0,35.14649860668626,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
epirubicin,10.0,33.58692962133579,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
camptothecin,1.11,32.288281359678045,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
gemcitabine,10.0,32.032588154785266,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
GDC-0941,10.0,30.42465876128677,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
staurosporine,10.0,30.402541175173493,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),moderate
tanespimycin,10.0,27.52721091810582,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),low
SN-38,1.11,26.984069384620057,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),low
nutlin-3,10.0,26.439868424645493,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),low
topotecan,1.11,24.014799101058088,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),low
navitoclax,10.0,23.836331563901187,RB1(27); JUN(25); HES1(23); CHEK1(18); CCL2(17),low
