drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.54575380878433,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),very_high
docetaxel,10.0,63.11902546014055,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),high
vinorelbine,10.0,55.56522428129121,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),high
vinblastine,10.0,51.07306128049828,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),high
temsirolimus,10.0,45.977889897805326,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),moderate
methotrexate,10.0,45.64894710681527,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),moderate
MG-132,10.0,35.45698784763448,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),moderate
lestaurtinib,10.0,32.63083684343625,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),moderate
navitoclax,10.0,30.65047895910304,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),moderate
lapatinib,10.0,30.031058759612954,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),moderate
bortezomib,10.0,29.540985641271,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
AZD-6482,10.0,27.063591817632915,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
foretinib,10.0,26.928024247424254,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
ABT-737,10.0,26.719747925087315,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
staurosporine,10.0,25.74651919452145,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
MK-1775,10.0,25.58335108568003,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
gemcitabine,10.0,23.28434099356089,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
sorafenib,10.0,22.969302610836966,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
epirubicin,10.0,21.93573259338831,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
nilotinib,10.0,20.547564557856635,CCL2(36); HES1(22); HMGCR(12); RB1(12); PPARG(11),low
