drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),very_high
sirolimus,1.11,100.0,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),very_high
docetaxel,1.11,67.8908183193096,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),high
paclitaxel,10.0,67.195052197713,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),high
vinorelbine,10.0,49.943218738576995,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
vinblastine,10.0,48.54985742967271,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
NVP-AUY922,1.11,35.600541831699296,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
NVP-BEZ235,10.0,35.5360482058147,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
lestaurtinib,10.0,34.661094824676326,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
epirubicin,10.0,33.09317922980074,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
methotrexate,10.0,32.248129915495625,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
camptothecin,1.11,32.24710189713608,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
gemcitabine,10.0,31.284670744866027,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
staurosporine,10.0,30.405228895321724,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),moderate
GDC-0941,10.0,29.66982108876603,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),low
SN-38,1.11,26.94288992207811,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),low
tanespimycin,10.0,26.348792448519184,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),low
nutlin-3,10.0,24.65775184930544,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),low
topotecan,1.11,23.97361963851614,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),low
lapatinib,10.0,22.888474282685323,JUN(26); PPARG(23); CCL2(20); CHEK1(19); AKT1(18),low
