drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),very_high
sirolimus,1.11,99.35491620551322,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),very_high
docetaxel,1.11,66.54560615858955,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),high
paclitaxel,10.0,65.84984003699294,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),high
vinorelbine,10.0,49.67225159028739,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
vinblastine,10.0,48.278890281383106,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
NVP-BEZ235,10.0,33.88167197473764,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
NVP-AUY922,1.11,33.79193988563153,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
lestaurtinib,10.0,33.00671859359927,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
methotrexate,10.0,32.69680116541795,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
epirubicin,10.0,31.308691946364274,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
camptothecin,1.11,30.486440709295216,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
gemcitabine,10.0,30.050408540484714,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),moderate
staurosporine,10.0,28.733571496814612,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),low
GDC-0941,10.0,28.288300548119512,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),low
SN-38,1.11,25.182228734237313,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),low
tanespimycin,10.0,25.077513476837574,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),low
nutlin-3,10.0,24.000618655605997,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),low
topotecan,1.11,22.212958450675337,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),low
lapatinib,10.0,21.974224831098457,CCL2(14); GATA3(12); RB1(12); SMAD3(9); AXIN1(8),low
