drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),very_high
sirolimus,1.11,99.1559982317209,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),very_high
docetaxel,1.11,66.33985468959594,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),high
paclitaxel,10.0,65.64408856799933,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),high
vinorelbine,10.0,49.48480456638567,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
vinblastine,10.0,48.09144325748139,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
NVP-BEZ235,10.0,33.675920505744024,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
NVP-AUY922,1.11,33.593021911839216,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
lestaurtinib,10.0,32.80096712460565,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
methotrexate,10.0,32.491049696424334,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
epirubicin,10.0,31.102940477370645,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
camptothecin,1.11,30.280689240301587,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),moderate
gemcitabine,10.0,29.844657071491085,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
staurosporine,10.0,28.527820027820983,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
GDC-0941,10.0,28.13784882725548,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
SN-38,1.11,24.976477265243684,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
tanespimycin,10.0,24.871762007843945,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
nutlin-3,10.0,23.801700681813674,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
topotecan,1.11,22.00720698168171,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
lapatinib,10.0,21.768473362104828,KDM5A(43); RB1(24); JUN(22); AXIN1(20); GATA3(13),low
