drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.26914685549366,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),high
docetaxel,10.0,59.8424185068499,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),high
vinorelbine,10.0,52.31055736917901,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),high
vinblastine,10.0,47.81839436838608,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),moderate
methotrexate,10.0,43.68801568196369,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),moderate
temsirolimus,10.0,42.18448594013587,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),moderate
MG-132,10.0,33.41800900973744,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),moderate
lestaurtinib,10.0,28.886489836314812,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
navitoclax,10.0,27.20908573176139,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
lapatinib,10.0,27.000839917692296,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
bortezomib,10.0,26.311031805222015,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
AZD-6482,10.0,23.83363798158393,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
ABT-737,10.0,23.278354697745666,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
foretinib,10.0,23.00252704586525,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
MK-1775,10.0,22.26121166391337,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
staurosporine,10.0,21.94753293980359,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
gemcitabine,10.0,19.962201571794232,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
sorafenib,10.0,18.767267335744574,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
epirubicin,10.0,18.136746338670456,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
nilotinib,10.0,16.62206735629763,PPARG(25); CHEK1(23); RB1(23); EGR1(20); HES1(16),low
