drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.01067354083311,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),very_high
docetaxel,10.0,60.583945192189326,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),high
vinorelbine,10.0,52.90199776900406,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),high
vinblastine,10.0,48.409834768211134,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),moderate
methotrexate,10.0,44.01934256865287,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),moderate
temsirolimus,10.0,43.29376197134044,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),moderate
MG-132,10.0,33.33610895569033,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),moderate
lestaurtinib,10.0,29.085440997396443,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
navitoclax,10.0,27.879301428745855,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
lapatinib,10.0,26.685928520048137,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
bortezomib,10.0,26.22913175117491,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
ABT-737,10.0,23.94857039473013,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
AZD-6482,10.0,23.889236464144894,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
foretinib,10.0,23.593967445690318,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
staurosporine,10.0,22.14648410088522,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
MK-1775,10.0,21.944903349389552,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
gemcitabine,10.0,20.293528458483415,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
sorafenib,10.0,18.974213189578546,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
epirubicin,10.0,18.33569749975208,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
nilotinib,10.0,17.2135077561227,RB1(40); PPARG(27); CCND1(24); HES1(15); HDAC2(15),low
