drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),very_high
sirolimus,1.11,99.96441549419416,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),very_high
docetaxel,1.11,67.15510544727049,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),high
paclitaxel,10.0,66.45933932567388,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),high
vinorelbine,10.0,50.29654570644645,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),high
vinblastine,10.0,48.90318439754217,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
NVP-BEZ235,10.0,34.49117126341861,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
NVP-AUY922,1.11,34.40143917431249,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
lestaurtinib,10.0,33.61621788228023,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
methotrexate,10.0,32.48853049985013,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
epirubicin,10.0,31.76401263617853,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
camptothecin,1.11,31.09593999797619,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
gemcitabine,10.0,30.505729230298964,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),moderate
staurosporine,10.0,29.343070785495577,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),low
GDC-0941,10.0,28.897799836800477,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),low
SN-38,1.11,25.791728022918278,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),low
tanespimycin,10.0,25.68701276551854,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),low
nutlin-3,10.0,24.610117944286962,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),low
topotecan,1.11,22.82245773935631,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),low
lapatinib,10.0,22.154471611419307,CHEK1(20); KDM5A(17); PMAIP1(16); GATA3(15); IKBKB(15),low
