drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.23223766225634,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),high
docetaxel,10.0,59.805509313612596,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),high
vinorelbine,10.0,52.15576730153735,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),high
vinblastine,10.0,47.663604300744424,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),moderate
methotrexate,10.0,43.94645255505833,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),moderate
temsirolimus,10.0,42.940020742617165,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),moderate
MG-132,10.0,33.26321894209578,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),moderate
lestaurtinib,10.0,28.73169976867314,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
navitoclax,10.0,27.525560200022557,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
lapatinib,10.0,26.99753305244467,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
bortezomib,10.0,26.15624173758034,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
AZD-6482,10.0,23.79672878834662,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
ABT-737,10.0,23.594829166006832,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
foretinib,10.0,22.847736978223576,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
MK-1775,10.0,22.22430247067606,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
staurosporine,10.0,21.792742872161924,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
gemcitabine,10.0,20.220638444888852,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
sorafenib,10.0,18.6124772681029,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
epirubicin,10.0,17.981956271028782,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
nilotinib,10.0,16.467277288655964,CCL2(37); PPARG(35); PMAIP1(25); HDAC2(23); CDK4(16),low
