drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.90118749963385,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),very_high
sirolimus,1.11,98.63638664981681,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),very_high
docetaxel,1.11,65.46555233234058,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),high
paclitaxel,10.0,65.13366271380968,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),high
vinorelbine,10.0,49.2564423519638,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
vinblastine,10.0,48.132058154549235,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
methotrexate,10.0,34.34994707267876,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
NVP-AUY922,1.11,34.33480594555881,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
NVP-BEZ235,10.0,34.20278455485544,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
lestaurtinib,10.0,32.82430085424344,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
epirubicin,10.0,32.44102636672139,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
gemcitabine,10.0,31.185750118507617,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
camptothecin,1.11,30.988199506196825,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
staurosporine,10.0,30.386717404075334,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),moderate
GDC-0941,10.0,29.265108186775713,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),low
tanespimycin,10.0,26.750394983968537,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),low
nutlin-3,10.0,25.687385507085647,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),low
SN-38,1.11,25.683987531138914,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),low
lapatinib,10.0,23.198118229999064,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),low
navitoclax,10.0,23.087979994837532,PPARG(40); IKBKB(21); EGR1(19); RB1(13); SRC(11),low
