drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),very_high
sirolimus,1.11,100.0,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),very_high
docetaxel,1.11,67.60033065878825,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),high
paclitaxel,10.0,67.2684410402574,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),high
vinorelbine,10.0,51.72120018264022,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),high
vinblastine,10.0,50.327838873735935,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),high
NVP-BEZ235,10.0,35.89854457218232,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
NVP-AUY922,1.11,35.21934412264641,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
lestaurtinib,10.0,35.02359119104394,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
methotrexate,10.0,34.73095493029274,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
epirubicin,10.0,33.32556454380899,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
camptothecin,1.11,31.872737683284466,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
gemcitabine,10.0,31.771223077258444,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
staurosporine,10.0,30.172478669920878,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
GDC-0941,10.0,30.009115084893242,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),moderate
tanespimycin,10.0,27.13140284158253,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),low
SN-38,1.11,26.568525708226534,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),low
nutlin-3,10.0,26.06839336469965,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),low
topotecan,1.11,23.59925542466456,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),low
navitoclax,10.0,23.489707372939122,CCL2(21); CASP3(21); RB1(16); EGR1(15); HSPB1(15),low
