drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),very_high
sirolimus,1.11,99.48282792052042,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),very_high
docetaxel,1.11,66.63306275323893,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),high
paclitaxel,10.0,65.93729663164233,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),high
vinorelbine,10.0,49.733035211389144,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
vinblastine,10.0,48.33967390248486,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
NVP-BEZ235,10.0,33.9389459782256,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
NVP-AUY922,1.11,33.84921388911948,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
lestaurtinib,10.0,33.07787802349726,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
methotrexate,10.0,31.93630521465707,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
epirubicin,10.0,31.379851376262234,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
camptothecin,1.11,30.54371471278313,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
gemcitabine,10.0,30.10084844989507,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),moderate
GDC-0941,10.0,28.400874299737023,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),low
staurosporine,10.0,28.19559890853407,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),low
SN-38,1.11,25.23950273772523,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),low
tanespimycin,10.0,25.15452308019573,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),low
nutlin-3,10.0,24.108794770742897,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),low
topotecan,1.11,22.27023245416326,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),low
navitoclax,10.0,21.488878165353732,KDM5A(35); JUN(29); CHEK1(21); PPARG(21); IKBKB(19),low
