drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.08026808110634,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),very_high
docetaxel,10.0,60.65353973246256,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),high
vinorelbine,10.0,52.9715923092773,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),high
vinblastine,10.0,48.47942930848437,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),moderate
methotrexate,10.0,44.2145662481665,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),moderate
temsirolimus,10.0,43.274381390980516,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),moderate
MG-132,10.0,33.57718298261842,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),moderate
lestaurtinib,10.0,29.06606041703651,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
navitoclax,10.0,27.839524240545217,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
lapatinib,10.0,27.26564674555287,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
bortezomib,10.0,26.42435543068855,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
AZD-6482,10.0,24.08446014365854,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
ABT-737,10.0,23.9087932065295,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
foretinib,10.0,23.617711638549096,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
MK-1775,10.0,22.52462157489428,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
staurosporine,10.0,22.127103520525296,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
gemcitabine,10.0,20.488752137997054,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
sorafenib,10.0,19.71362924955829,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
epirubicin,10.0,18.29592031155144,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
nilotinib,10.0,17.237251948981477,CCL2(18); CCND1(12); KDM5A(12); ABL1(10); HES1(10),low
